Timestamp,Username,What's your name?,Are you a big or a little?,Choice #1,Choice #2,Choice #3,Choice #4,Choice #5,Choice #6,Choice #7,Choice #8,Choice #9,Choice #10
2017/07/13 6:45:03 PM AST,test@email.com,Jackie,Big,Liz,Lizzie,Lisa,Lemon,Lauren,,,,,
2017/07/13 6:46:25 PM AST,,Jubby,Big,Liz,Lisa,Lizzie,Lauren,Lemon,,,,,
2017/07/13 6:46:57 PM AST,,Flubson,Big,Lisa,Liz,Lemon,Lauren,Lizzie,,,,,
2017/07/13 6:48:08 PM AST,,Mackie,Big,Lizzie,Lemon,Laura,Liz,Lisa,,,,,
2017/07/13 6:49:54 PM AST,,Moit,Big,Lauren,Lemon,Liz,Lizzie,Lisa,,,,,
2017/07/13 6:50:35 PM AST,,Lot,Little,Jesse,Jane,Joe,Joy,Jackie,,,,,
2017/07/13 6:51:53 PM AST,,Pore,Little,Joy,Joe,Jesse,Jane,Joy,,,,,
2017/07/13 6:53:21 PM AST,,Serp,Little,Joe,Jackie,Jane,Jesse,Joy,,,,,
2017/07/13 6:55:16 PM AST,,Lerp,Little,Jackie,Joy,Joe,Jane,Jesse,,,,,
2017/07/13 6:55:55 PM AST,,Flop,Little,Joy,Jane,Jesse,Joe,Jackie,,,,,
2017/07/13 6:45:03 PM AST,test@email.com,Jackie,Big,Liz,Lizzie,Lisa,Lemon,Lauren,,,,,
2017/07/13 6:46:25 PM AST,,Jubby,Big,Liz,Lisa,Lizzie,Lauren,Lemon,,,,,
2017/07/13 6:46:57 PM AST,,Flubson,Big,Lisa,Liz,Lemon,Lauren,Lizzie,,,,,
2017/07/13 6:48:08 PM AST,,Mackie,Big,Lizzie,Lemon,Laura,Liz,Lisa,,,,,
2017/07/13 6:49:54 PM AST,,Moit,Big,Lauren,Lemon,Liz,Lizzie,Lisa,,,,,
2017/07/13 6:50:35 PM AST,,Lot,Little,Jesse,Jane,Joe,Joy,Jackie,,,,,
2017/07/13 6:51:53 PM AST,,Pore,Little,Joy,Joe,Jesse,Jane,Joy,,,,,
2017/07/13 6:53:21 PM AST,,Serp,Little,Joe,Jackie,Jane,Jesse,Joy,,,,,
2017/07/13 6:55:16 PM AST,,Lerp,Little,Jackie,Joy,Joe,Jane,Jesse,,,,,
2017/07/13 6:55:55 PM AST,,Flop,Little,Joy,Jane,Jesse,Joe,Jackie,,,,,
2017/07/13 6:45:03 PM AST,test@email.com,Jackie,Big,Liz,Lizzie,Lisa,Lemon,Lauren,,,,,
2017/07/13 6:46:25 PM AST,,Jubby,Big,Liz,Lisa,Lizzie,Lauren,Lemon,,,,,
2017/07/13 6:46:57 PM AST,,Flubson,Big,Lisa,Liz,Lemon,Lauren,Lizzie,,,,,
2017/07/13 6:48:08 PM AST,,Mackie,Big,Lizzie,Lemon,Laura,Liz,Lisa,,,,,
2017/07/13 6:49:54 PM AST,,Moit,Big,Lauren,Lemon,Liz,Lizzie,Lisa,,,,,
2017/07/13 6:50:35 PM AST,,Lot,Little,Jesse,Jane,Joe,Joy,Jackie,,,,,
2017/07/13 6:51:53 PM AST,,Pore,Little,Joy,Joe,Jesse,Jane,Joy,,,,,
2017/07/13 6:53:21 PM AST,,Serp,Little,Joe,Jackie,Jane,Jesse,Joy,,,,,
2017/07/13 6:55:16 PM AST,,Lerp,Little,Jackie,Joy,Joe,Jane,Jesse,,,,,
2017/07/13 6:55:55 PM AST,,Flop,Little,Joy,Jane,Jesse,Joe,Jackie,,,,,
2017/07/13 6:45:03 PM AST,test@email.com,Jackie,Big,Liz,Lizzie,Lisa,Lemon,Lauren,,,,,
2017/07/13 6:46:25 PM AST,,Jubby,Big,Liz,Lisa,Lizzie,Lauren,Lemon,,,,,
2017/07/13 6:46:57 PM AST,,Flubson,Big,Lisa,Liz,Lemon,Lauren,Lizzie,,,,,
2017/07/13 6:48:08 PM AST,,Mackie,Big,Lizzie,Lemon,Laura,Liz,Lisa,,,,,
2017/07/13 6:49:54 PM AST,,Moit,Big,Lauren,Lemon,Liz,Lizzie,Lisa,,,,,
2017/07/13 6:50:35 PM AST,,Lot,Little,Jesse,Jane,Joe,Joy,Jackie,,,,,
2017/07/13 6:51:53 PM AST,,Pore,Little,Joy,Joe,Jesse,Jane,Joy,,,,,
2017/07/13 6:53:21 PM AST,,Serp,Little,Joe,Jackie,Jane,Jesse,Joy,,,,,
2017/07/13 6:55:16 PM AST,,Lerp,Little,Jackie,Joy,Joe,Jane,Jesse,,,,,
2017/07/13 6:55:55 PM AST,,Flop,Little,Joy,Jane,Jesse,Joe,Jackie,,,,,
